,freq
껌,1
악수,6
바질,1
어머님,5
오줌,1
추가,2
감사,1
침,2
낮,12
종류,2
배변,3
오리,1
세면,1
시리얼,1
실패,1
한약,2
초코,1
스펙트,5
알레,1
수라도,1
안물,8
날때,1
쥬세,1
맘마,7
교육,9
모자라,4
왕모,2
곰돌이,1
유두,256
비상,1
론,2
건강,1
아파해,1
밖,2
가오,1
로만,1
전이,2
끝일,1
구오,1
식품,1
돌끝맘,1
티백,2
안느,3
스와들,1
조건,2
거품,3
반복,4
오,10
유일,2
핫,3
약사,1
물질,3
미련,5
거도,2
수리,1
국,1
개월,1345
리뉴,1
운,2
면서,10
공차,1
뱃노래,3
주야장천,2
유예,1
카,3
명작,26
참나,1
작성,1
무엇,1
티피,1
개념,2
저녁,11
놈,1
밀봉,1
소아,1
생,2
알코올,3
고민,116
라볶이,1
소이,1
킬로나,1
용인,1
선생님,3
피자,4
인파,6
내년,1
찍찍,1
후기,15
도,12
녹변,7
사인,1
프로,21
동탄,1
리기,4
단독,1
모습,1
직장,1
진짜,8
평소,7
반,42
잘잘,1
사려,1
너,2
강아지,1
혼유,1
잠언,1
박수만,1
서요,1
중간,4
수,34
모레,4
퇴원,1
중,67
변경,10
토토,1
루트,17
완모맘,1
부터,1
리리,1
의미,2
기점,1
앰솔,1
편평,8
세척,2
절편,1
빨대,9
분유명,2
침전,1
노리,1
화요일,1
스유텀,1
터비뉴,1
적당량일까,1
틴토,1
돌이,2
상관관계,1
유의,1
양념치킨,1
주일,9
잠투정,6
안타,2
디스,5
막,26
웁니,1
어려움,1
클래스,3
보틀,3
왕분,36
구레,1
진통제,1
보윰,2
아야,1
종일,6
유축,882
이건,2
몽,6
벌써,6
선,1
클리,1
설사,8
장염,9
수술실,1
입천장,1
양종,2
입도,1
페,5
고래,2
험담,1
기능,2
식사량,2
전복,1
아들내미,1
육량,1
명절,1
응,3
비법,1
수막,1
기절,2
악순환,1
응사,2
오일만,1
엾,1
두피,1
정상인,1
타이밍,5
갓,1
확인,2
유투,1
자구,1
쥬쥬,1
오전,3
텀이,76
물집,4
두,44
세트,1
살이,12
접근,1
자고,23
대해,5
단정,1
과,1
권,1
대체,1
나기,1
모양,4
유나,1
거용,2
장기,4
파도,1
반란,1
민소매,1
중반,1
셔틀,1
구해,10
메델,5
감고,4
가면,8
연고,4
탈수,4
거여,1
핏줄,1
유선,52
가동,1
얼마,20
빔,1
생각,15
편,6
만자,1
강제,1
꼭,5
갈팡질팡,1
마마,3
방식,4
꿀떡,4
유요,21
피시,1
궁금,8
계월,1
승부,1
차부,1
권유,1
투,1
이,58
사신,1
수요,16
횟수,93
더,3
비,10
쪼금,1
위드,19
마음,7
뭘,50
답답,1
혼자,3
다섯시,1
이상,5
정보,3
제품,1
원,1
땅땅,3
팔목,1
잡고,4
관해,5
첫째,10
첨,1
실랑이,1
반사,2
방법,81
셀프,1
만,22
주위,1
길이,2
아바타,10
하나,9
팥죽,1
피,23
언스,6
심,1
가운데,1
부풀,1
바운스,1
혼,2
유미,8
평편,1
팁,19
왁싱,1
둘,3
나중,8
그다음,1
출요,1
날,21
변,97
부담,2
리뉴얼,2
자꾸,6
뾰루,1
가끔,5
뱃고레,1
완모단,1
뿌엥,1
줄,6
푹,1
유법,5
배냇,1
윅스,5
여러분,2
경우,26
오시,2
밥때,1
체적,2
좌우,1
사랑,1
공장,1
일지,1
기간,16
금요일,1
어제,19
텀일까,1
복용,9
비례,1
전체,1
귀,1
제멋대로,1
피임,1
말랬는데,1
급,2
라농,1
국내,9
유고,10
준비,3
오른쪽,4
양제,28
치,2
밀정,1
신문,1
흐엉,1
측정,1
원수,1
기운,5
일어나서,4
갈림길,1
뉴트,6
소한,1
다가,14
가세,1
담요,1
유아기,1
라이,1
꿈,6
주전자,1
둥이,2
인디고,1
팩,6
견,1
꼬박꼬박,1
불편,1
오키,1
아려,1
수영장,1
비타민,10
얘,1
단호박,1
를,1
영양가,2
싸개,1
이동,2
작동,1
버블티,1
양도,6
떡,1
티,1
토텍정,1
반응,3
초콜릿,2
풋볼,4
보온병,3
당류,1
백반,5
마,2
눈곱,1
여자아이,2
자마자,1
입맛,4
결심,9
실로,1
퓨리,1
액티,1
이루마,2
알레르기,17
제발,18
포함,2
유해,8
철분,2
즙,4
일반,5
애,13
자도,7
유수,16
기한,3
무플,5
심해,16
포만,1
스크린,2
완모해,1
주말,2
푸른색,1
완불하,1
인체,1
수유동,2
맘라떼모아,2
아타,1
건조,2
베바,1
반모,1
자,86
독해,1
두유,2
수훈,1
만들기,3
피나,6
군것질,1
알갱이,5
어선,1
수면,2
밤새,2
맘,206
간호사,1
기다림,1
삑,1
제로,2
부유,2
물이,10
성,2
홀레,8
고집,5
족탕,1
타이,1
현상,1
소독기,5
스코펜,1
중이염,2
토,119
데,7
비결,1
다시,4
엠마,1
십일,1
뻐팅김,1
가안,1
길,6
쭈쭈기,1
장하도,1
코알라,11
체력,2
자리,3
트림,71
물자,1
서서히,3
꼬물락거릴,1
노,55
조각,1
밀수입,1
검진,1
승,1
아인,1
어플,4
유한,3
이안,1
완보,23
